,Unnamed: 0,video,human1,human2,size1,size2
0,0,1043_meal,21759,19918,85.92900869391853,33.386030399408064
1,1,1047_meal,24040,8496,97.56311208527652,46.01557010844446
2,2,1049_meal,9972,6049,115.76647079336078,59.38810144466383
3,3,1049_meal_1,3080,2149,55.58043155329071,89.78743492005839
4,4,1053_meal,2527,10519,77.73469258903185,84.3516727260021
5,5,1059_meal,12293,12219,48.137689251942575,106.34072257597879
6,6,1059_meal_1,2752,4946,94.47657763590969,50.29563108893843
7,7,1062_meal,22093,20749,37.71964697766716,29.093039091614063
8,8,1069_meal,23908,7072,97.9975844514377,39.260208402874106
9,9,1073_meal,4719,3245,64.6946654186655,54.564603020201524
10,10,1073_meal_1,6466,461,71.3081675340661,62.82915890267257
11,11,1079_meal,1210,5970,68.68449848281688,74.42441681541128
12,12,1079_meal_1,13568,5267,88.12010713052304,78.73445410402704
13,13,1080_meal,10246,14121,75.40238510903053,59.11178443634197
14,14,1082_meal,13045,11581,83.82267250748131,39.822912189198945
15,15,1082_meal_1,1104,1279,63.491932233351314,75.9384266196198
16,16,1089_meal,6219,6166,81.76078966266643,96.30732748848989
17,17,1089_meal_1,4852,4780,66.24537628791602,49.6733893506858
18,18,1089_meal_2,5549,264,70.28363262065949,66.71237015829838
19,19,1092_meal,21136,22083,24.39465276975215,35.5922218947659
20,20,1093_meal,11658,11147,111.80582398939102,53.31251303443637
21,21,1096_meal,14719,957,54.76473603332048,57.22040701001981
22,22,1096_meal_1,2688,1169,52.54331915521853,54.191775320584604
23,23,1097_meal,8650,2700,60.600242774294465,58.400857042936344
24,24,1098_meal,6264,4980,77.91716168298449,32.309051652348955
25,25,1098_meal_1,14084,8555,86.02057872423326,33.99677123562273
26,26,1099_meal,25185,23050,80.48392299109614,71.34881916796864
27,27,1104_meal,3862,3770,40.06625925574913,24.857051076803522
28,28,1104_meal_1,10380,394,65.68180969156178,39.45928626704451
29,29,1105_meal,14960,7966,62.56350599364963,39.07744874414761
30,30,1107_meal,19621,5443,77.94629051998773,56.440838407512274
31,31,1108_meal,15566,4988,60.9598347433223,61.44389548112197
32,32,1108_meal_1,4457,4109,59.100564187179295,60.03562861448505
33,33,1108_meal_2,6148,7817,60.563535016969354,57.666093142560705
34,34,1112_meal,5741,757,72.35191752025322,74.10568650686366
35,35,1112_meal_1,5518,3756,135.1393836066824,73.08389795084666
36,36,1112_meal_2,786,522,70.77513364775554,105.15574027819302
37,37,1117_meal,20074,6424,79.1735019245867,84.56941816553538
38,38,1118_meal,21909,21480,73.6084694023294,89.18769940599843
39,39,1118_meal_1,8083,7249,66.44036980356617,40.66722587984838
40,40,1122_meal,5357,9923,109.65916871770978,77.29763267878873
41,41,1124_meal,13912,110,91.76088739108368,56.54556517187236
42,42,1125_meal,29023,26498,57.923706367710714,62.4125055349029
43,43,1129_meal,27700,27259,69.31959882306145,56.17422528380833
44,44,1130_meal,23064,4355,61.47661763754369,50.38949576822443
45,45,1131_meal,10576,9801,53.40138047098784,33.76005568424084
46,46,1132_meal,22020,3092,71.55043655141034,41.5695258668211
47,47,1148_meal,7563,1989,84.22619989280777,111.56289968969985
48,48,1161_meal,4115,841,57.34276497054272,44.34987553554182
49,49,1161_meal_1,8790,2725,80.80880253128876,67.56466317259584
50,50,1170_meal,7822,14807,36.95531149716952,59.249856789815986
51,51,1180_meal,31971,34693,30.96699306002002,42.93097402690674
52,52,1181_meal,36869,19208,66.11790707547831,47.875865698894785
53,53,1184_meal,20027,15664,40.72792803579046,31.82733814162476
54,54,1186_meal,15197,5117,65.82767717988534,40.990330115903205
55,55,1190_meal,53692,52949,77.66983407838231,39.174405577689676
56,56,1190_meal_1,53108,51154,77.18708216667464,38.83489006092979
57,57,1195_meal,12405,1257,71.83047925093766,72.50546983857176
58,58,1195_meal_1,4176,235,70.87202009374072,43.14276888086021
59,59,1206_meal,12828,12950,41.7965538395448,96.12944176952922
60,60,1206_meal_1,9586,820,33.08711225917316,89.09952446398204
61,61,1210_meal,19200,14324,60.93794468563486,33.16588126100202
62,62,1217_meal,7528,1280,72.76454481564778,48.354430278187586
63,63,1217_meal_1,6139,1986,93.62312934483491,63.1795343300306
64,64,1230_meal,15353,14636,79.041147794878,73.60987636910886
65,65,1234_meal,10925,7663,65.72572676367709,29.974197062033394
66,66,1241_meal,1217,10972,58.400605787394646,57.48470168229132
67,67,1245_meal,52380,20151,73.30829152532958,23.465385838933326
68,68,1246_meal,18964,17768,73.80587902014939,72.5688034197192
69,69,1250_meal,23989,25301,96.65828231908586,68.15548276147629
70,70,1263_meal,19610,23157,89.19193831325035,55.17591946636467
71,71,1264_meal,38271,14474,37.22309662076104,27.189978303886807
72,72,1282_meal,17973,14482,67.98133716168729,55.07036504166414
73,73,2009_meal,31206,31188,81.70909568731155,29.53102762441027
74,74,2025_meal,4506,4429,60.07761862700308,58.73621556689491
75,75,2025_meal_1,4669,4259,96.31877411336245,50.37655754985623
76,76,2027_meal,5085,965,57.71760060966477,62.451141436628035
