,feature,coefficient,importance
34,child_angle_horizontal_var,-,2.0546810463673725e-05
18,cg_angle_horizontal_var,-,2.038430827272519e-05
42,child_angle_vertical_var,-,2.0291732623527683e-05
26,cg_angle_vertical_var,-,1.8163561726415208e-05
53,variance_proximity,-,1.7185341322902497e-05
56,max_proximity,-,1.4179994061824875e-06
6,cg_movement_kurt,-,1.187138171845265e-06
13,child_movement_kurt,-,9.21476199556313e-07
52,average_proximity,-,5.284186138701286e-07
45,child_angle_vertical_max,-,3.196522951154255e-07
44,child_angle_vertical_min,+,3.19648938905148e-07
28,cg_angle_vertical_min,+,3.196377516201617e-07
29,cg_angle_vertical_max,-,3.1963675131064075e-07
21,cg_angle_horizontal_max,-,3.1960263033141624e-07
20,cg_angle_horizontal_min,+,3.196015209645363e-07
37,child_angle_horizontal_max,-,3.1951996147824466e-07
36,child_angle_horizontal_min,+,3.195196242772548e-07
54,std_dev_proximity,-,1.943146200025211e-07
35,child_angle_horizontal_std,-,1.9108389285897132e-07
19,cg_angle_horizontal_std,-,1.9021828158234182e-07
43,child_angle_vertical_std,-,1.8976494579434492e-07
27,cg_angle_vertical_std,-,1.7988718829399078e-07
50,average_distance_duration,-,1.725674160643718e-07
55,min_proximity,-,1.1136171190268772e-07
14,cg_area_travelled,-,4.795241405208223e-08
51,frequency_distance,-,4.3432377824514456e-08
12,child_movement_skew,-,2.638772857081699e-08
5,cg_movement_skew,-,2.2703619114387853e-08
15,child_area_travelled,-,2.1028684639573056e-08
49,frequency_contact,-,1.577394509945939e-08
32,child_angle_horizontal_mean,-,8.920306785121736e-09
4,cg_movement_max,-,8.370439577132643e-09
24,cg_angle_vertical_mean,-,7.3825487771206e-09
25,cg_angle_vertical_median,+,6.667182175997758e-09
48,average_contact_duration,+,5.281795006436253e-09
17,cg_angle_horizontal_median,-,4.265757221088762e-09
11,child_movement_max,-,3.651398992850738e-09
16,cg_angle_horizontal_mean,-,3.389373856042132e-09
33,child_angle_horizontal_median,+,3.243180241061995e-09
39,child_angle_horizontal_kurt,+,2.2119743048686125e-09
47,child_angle_vertical_kurt,+,2.097453172485207e-09
40,child_angle_vertical_mean,+,2.086821036553968e-09
31,cg_angle_vertical_kurt,+,2.062637118763574e-09
23,cg_angle_horizontal_kurt,+,1.794220089267766e-09
58,correlation,-,9.293592245134158e-10
2,cg_movement_std,-,3.7087247348165596e-10
0,cg_movement_mean,-,3.461675823481676e-10
41,child_angle_vertical_median,+,1.6484522285974185e-10
1,cg_movement_var,-,6.664042103912608e-11
9,child_movement_std,-,6.649646793935441e-11
7,child_movement_mean,-,4.5496259651729656e-11
46,child_angle_vertical_skew,-,4.130751678489964e-11
38,child_angle_horizontal_skew,+,2.941392939011554e-11
57,cross_correlation,+,2.8961039991458655e-11
30,cg_angle_vertical_skew,+,2.5831576842599904e-11
22,cg_angle_horizontal_skew,+,8.843161581740771e-12
8,child_movement_var,+,4.6802853617180354e-12
3,cg_movement_min,-,3.5686902332112473e-13
10,child_movement_min,-,1.070950610925496e-13
