,feature,coefficient,importance
42,child_angle_vertical_var,no_rad,2.4960445635814815e-05
18,cg_angle_horizontal_var,no_rad,2.3396763819725538e-05
34,child_angle_horizontal_var,no_rad,2.3347937753645354e-05
26,cg_angle_vertical_var,no_rad,2.3120974680307762e-05
53,variance_proximity,no_rad,1.3938785710135964e-05
13,child_movement_kurt,no_rad,2.0071986331279617e-06
56,max_proximity,no_rad,1.4904063984902206e-06
6,cg_movement_kurt,no_rad,7.079394520110283e-07
52,average_proximity,no_rad,6.697976358451055e-07
45,child_angle_vertical_max,no_rad,3.764891197914592e-07
44,child_angle_vertical_min,rad,3.7648697888445804e-07
28,cg_angle_vertical_min,rad,3.7647921302995357e-07
29,cg_angle_vertical_max,no_rad,3.764787768822986e-07
20,cg_angle_horizontal_min,rad,3.7644909312426974e-07
21,cg_angle_horizontal_max,no_rad,3.764303149227672e-07
36,child_angle_horizontal_min,rad,3.7632904507392566e-07
37,child_angle_horizontal_max,no_rad,3.7632809770698676e-07
43,child_angle_vertical_std,no_rad,2.28453388049421e-07
19,cg_angle_horizontal_std,no_rad,2.210699384824114e-07
35,child_angle_horizontal_std,no_rad,2.209974514939291e-07
27,cg_angle_vertical_std,no_rad,2.1981687851905668e-07
55,min_proximity,no_rad,2.021454150915069e-07
54,std_dev_proximity,no_rad,1.6848279636230303e-07
50,average_distance_duration,no_rad,1.518185184260145e-07
14,cg_area_travelled,no_rad,5.326073634413275e-08
12,child_movement_skew,no_rad,4.11989403830345e-08
51,frequency_distance,no_rad,3.3163902336069765e-08
15,child_area_travelled,no_rad,2.3296014455155454e-08
5,cg_movement_skew,no_rad,1.9528842691951205e-08
48,average_contact_duration,rad,1.6172511062573118e-08
49,frequency_contact,rad,1.382123536659281e-08
25,cg_angle_vertical_median,rad,8.136885244084219e-09
24,cg_angle_vertical_mean,no_rad,7.326838081108464e-09
4,cg_movement_max,no_rad,7.257208830211655e-09
32,child_angle_horizontal_mean,no_rad,6.680080508003291e-09
33,child_angle_horizontal_median,rad,4.13981697945225e-09
11,child_movement_max,no_rad,3.638198147671159e-09
17,cg_angle_horizontal_median,no_rad,3.2951143786475252e-09
39,child_angle_horizontal_kurt,rad,2.5920861706884992e-09
31,cg_angle_vertical_kurt,rad,2.404879386356785e-09
23,cg_angle_horizontal_kurt,rad,2.3742471012409265e-09
16,cg_angle_horizontal_mean,rad,2.305449468529578e-09
47,child_angle_vertical_kurt,rad,2.27693839179125e-09
40,child_angle_vertical_mean,no_rad,7.922652080947685e-10
2,cg_movement_std,no_rad,3.390587692627182e-10
0,cg_movement_mean,no_rad,2.963021528898283e-10
41,child_angle_vertical_median,rad,1.447439628877654e-10
7,child_movement_mean,no_rad,9.306697761713818e-11
9,child_movement_std,no_rad,8.383395187975656e-11
58,correlation,rad,8.255350004224073e-11
46,child_angle_vertical_skew,no_rad,7.084727111112067e-11
1,cg_movement_var,no_rad,5.760097535527699e-11
57,cross_correlation,rad,5.3395456129287184e-11
22,cg_angle_horizontal_skew,no_rad,3.08293782506592e-11
8,child_movement_var,rad,2.6663316500503372e-11
30,cg_angle_vertical_skew,no_rad,1.8450855725642714e-12
3,cg_movement_min,no_rad,4.315761911240479e-13
38,child_angle_horizontal_skew,rad,3.9803650930816467e-13
10,child_movement_min,no_rad,1.415764185377313e-13
