random_state,classifier,best_params,best_score,f1_score,precision,recall
0,lr,"{'lr__C': 10, 'lr__penalty': 'l1', 'lr__solver': 'saga'}",0.5454545454545455,0.5404761904761906,0.5819047619047619,0.5856349206349206
0,svc_linear,{'svc_linear__C': 0.1},0.5257575757575759,0.5126906426906428,0.6060714285714286,0.5900396825396825
0,svc_rbf,"{'svc_rbf__C': 10, 'svc_rbf__gamma': 0.01}",0.4075757575757576,0.38789987789987784,0.42507936507936506,0.4095238095238095
0,rf,"{'rf__max_depth': None, 'rf__min_samples_split': 10, 'rf__n_estimators': 10}",0.4575757575757575,0.4437229437229437,0.4806746031746031,0.48007936507936505
1,lr,"{'lr__C': 100, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.5393939393939393,0.5261849261849262,0.5423809523809524,0.5336904761904762
1,svc_linear,{'svc_linear__C': 100},0.556060606060606,0.5364352314352314,0.5459523809523809,0.5411904761904761
1,svc_rbf,"{'svc_rbf__C': 10, 'svc_rbf__gamma': 0.01}",0.4727272727272728,0.4634576534576535,0.4928571428571429,0.4966666666666667
1,rf,"{'rf__max_depth': 5, 'rf__min_samples_split': 5, 'rf__n_estimators': 10}",0.5666666666666667,0.524598032686268,0.6216666666666667,0.5678571428571428
2,lr,"{'lr__C': 10, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.6363636363636365,0.6202564102564102,0.6314285714285715,0.6407936507936508
2,svc_linear,{'svc_linear__C': 1},0.5651515151515152,0.5577644577644577,0.6096825396825397,0.5958730158730159
2,svc_rbf,"{'svc_rbf__C': 100, 'svc_rbf__gamma': 0.01}",0.5272727272727272,0.5083760683760683,0.5391666666666667,0.5455555555555556
2,rf,"{'rf__max_depth': None, 'rf__min_samples_split': 10, 'rf__n_estimators': 200}",0.47727272727272724,0.4601221001221001,0.47928571428571426,0.47595238095238085
3,lr,"{'lr__C': 100, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.5803030303030303,0.5606615606615606,0.5933333333333334,0.5929761904761905
3,svc_linear,{'svc_linear__C': 1},0.593939393939394,0.5593056943056943,0.5903174603174602,0.5922619047619048
3,svc_rbf,"{'svc_rbf__C': 10, 'svc_rbf__gamma': 0.01}",0.509090909090909,0.4909523809523809,0.525,0.5321428571428571
3,rf,"{'rf__max_depth': None, 'rf__min_samples_split': 10, 'rf__n_estimators': 10}",0.5257575757575758,0.4906027306027306,0.5,0.4947619047619047
4,lr,"{'lr__C': 0.01, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.5136363636363636,0.3342105263157895,0.2568181818181818,0.5
4,svc_linear,{'svc_linear__C': 100},0.5454545454545454,0.516908091908092,0.5311111111111112,0.5371428571428571
4,svc_rbf,"{'svc_rbf__C': 10, 'svc_rbf__gamma': 0.01}",0.4924242424242425,0.4586813186813187,0.4642857142857143,0.5088095238095238
4,rf,"{'rf__max_depth': None, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}",0.5787878787878789,0.5538278388278389,0.5976190476190476,0.5773809523809523
5,lr,"{'lr__C': 10, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.5969696969696969,0.5812731712731714,0.6525000000000001,0.6190476190476191
5,svc_linear,{'svc_linear__C': 1},0.5999999999999999,0.5653836359718712,0.625,0.6428571428571429
5,svc_rbf,"{'svc_rbf__C': 10, 'svc_rbf__gamma': 0.01}",0.615151515151515,0.6,0.6488492063492064,0.6333333333333334
5,rf,"{'rf__max_depth': None, 'rf__min_samples_split': 5, 'rf__n_estimators': 50}",0.5136363636363636,0.5046908646908647,0.5136904761904761,0.5173809523809523
6,lr,"{'lr__C': 100, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.5121212121212122,0.49961038961038967,0.5283333333333334,0.5417857142857143
6,svc_linear,{'svc_linear__C': 1},0.4787878787878788,0.4710411810411811,0.49940476190476185,0.5027380952380952
6,svc_rbf,"{'svc_rbf__C': 10, 'svc_rbf__gamma': 0.01}",0.4075757575757576,0.39692141192141195,0.4276190476190476,0.4245238095238095
6,rf,"{'rf__max_depth': None, 'rf__min_samples_split': 5, 'rf__n_estimators': 50}",0.4242424242424242,0.41033300033300035,0.43154761904761907,0.4227380952380952
7,lr,"{'lr__C': 10, 'lr__penalty': 'l1', 'lr__solver': 'saga'}",0.543939393939394,0.5248845598845598,0.5544444444444444,0.5603571428571428
7,svc_linear,{'svc_linear__C': 100},0.5121212121212122,0.5017232767232767,0.5219047619047619,0.5288095238095238
7,svc_rbf,"{'svc_rbf__C': 10, 'svc_rbf__gamma': 0.01}",0.4909090909090909,0.48364413364413367,0.5135714285714286,0.5111904761904762
7,rf,"{'rf__max_depth': None, 'rf__min_samples_split': 2, 'rf__n_estimators': 200}",0.5272727272727273,0.5128754578754579,0.5339285714285713,0.5335714285714286
